id,symbol,name,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated,roi_times,roi_currency,data_fetched_at
tezos,xtz,Tezos,1.41,1434570423,96,1463318135,172675021,1.55,1.41,-0.1262316593171983,-8.22876,-131697477.96280289,-8.40836,1019239128.075132,1039663913.643543,,9.12,-84.48802,2021-10-04 00:41:18.025000+00:00,0.350476,303.47485,2018-12-07 00:00:00+00:00,2024-12-18 12:57:25.723000+00:00,1.9953162177598085,usd,2024-12-18 10:02:19.516525
the-graph,grt,The Graph,0.248833,2388753680,67,2698832275,105861552,0.276743,0.249498,-0.027909293052407,-10.08493,-257881532.1138577,-9.74375,9548531509.16547,10788004319.0,10788004319.0,2.84,-91.17781,2021-02-12 07:28:45.775000+00:00,0.052051,381.61021,2022-11-22 10:05:03.503000+00:00,2024-12-18 12:57:26.217000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
the-open-network,ton,Toncoin,5.68,14501355569,16,29087652850,476893155,6.12,5.67,-0.4335875958385742,-7.09053,-1167412476.5137272,-7.45057,2551368689.029762,5117682024.083403,,8.25,-31.12491,2024-06-15 00:36:51.509000+00:00,0.519364,994.54667,2021-09-21 00:33:11.092000+00:00,2024-12-18 12:57:28.139000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
the-sandbox,sand,The Sandbox,0.661714,1608129100,86,1985154936,326523711,0.71873,0.657011,-0.0570161578734214,-7.9329,-141645031.60922527,-8.09505,2430232126.2233224,3000000000.0,3000000000.0,8.4,-92.07608,2021-11-25 06:04:40.957000+00:00,0.02897764,2196.09849,2020-11-04 15:59:14.441000+00:00,2024-12-18 12:57:27.032000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
theta-token,theta,Theta Network,2.55,2550135594,64,2550135594,71923304,2.78,2.51,-0.208306912648708,-7.55666,-205439872.25331068,-7.45543,1000000000.0,1000000000.0,1000000000.0,15.72,-83.72821,2021-04-16 13:15:11.190000+00:00,0.04039979,6231.4159,2020-03-13 02:24:16.483000+00:00,2024-12-18 12:57:25.157000+00:00,15.988616081507974,usd,2024-12-18 10:02:19.516525
thorchain,rune,THORChain,6.42,2215291030,69,2681063488,456113099,6.96,6.4,-0.540437475929612,-7.76294,-180335008.88973665,-7.52768,343992288.0,416317834.0,500000000.0,20.87,-69.15996,2021-05-19 00:30:09.436000+00:00,0.00851264,75500.13932,2019-09-28 00:00:00+00:00,2024-12-18 12:57:25.175000+00:00,167.982317982817,usd,2024-12-18 10:02:19.516525
tokenize-xchange,tkx,Tokenize Xchange,21.03,1683810654,84,2104868586,24387591,21.12,19.88,0.965544,4.81209,78026140.0,4.85907,79995999.05112354,100000000.0,100000000.0,22.3,-5.79501,2022-10-31 10:23:59.455000+00:00,0.111255,18779.3522,2019-04-28 00:00:00+00:00,2024-12-18 12:57:26.207000+00:00,71.39419551596899,usd,2024-12-18 10:02:19.516525
tron,trx,TRON,0.270665,23339190348,11,23339210346,1890748950,0.296177,0.270764,-0.0255122290246102,-8.61384,-2243732980.0515404,-8.77043,86231259912.0521,86231333799.00447,,0.431288,-37.0139,2024-12-04 00:10:40.323000+00:00,0.00180434,14955.44882,2017-11-12 00:00:00+00:00,2024-12-18 12:57:26.728000+00:00,141.45518468940753,usd,2024-12-18 10:02:19.516525
uniswap,uni,Uniswap,15.85,9517515205,24,15849764334,1007281050,16.59,15.67,-0.4843631082402808,-2.96543,-291932575.99053955,-2.97603,600483073.71,1000000000.0,1000000000.0,44.92,-64.54516,2021-05-03 05:25:04.822000+00:00,1.03,1445.9208,2020-09-17 01:20:38.214000+00:00,2024-12-18 12:57:25.786000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
usd-coin,usdc,USDC,0.999507,42506097349,8,42496960035,13861176365,1.003,0.995114,-0.0007079711219317,-0.07078,47533640.0,0.11195,42529750327.72206,42520607928.99509,,1.17,-14.82702,2019-05-08 00:40:28.300000+00:00,0.877647,13.80763,2023-03-11 08:02:13.981000+00:00,2024-12-18 12:57:28.367000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
usds,usds,USDS,0.998615,5267833036,36,5267833036,21572942,1.004,0.99602,-0.001590382161249,-0.15901,-5457254.350821495,-0.10349,5275794934.773484,5275794934.773484,,1.057,-5.42209,2024-10-29 05:40:51.197000+00:00,0.948265,5.45503,2024-10-03 13:19:28.826000+00:00,2024-12-18 12:57:26.371000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
vechain,vet,VeChain,0.053646,4344509637,40,4612738780,206340921,0.060206,0.053664,-0.0051775361587048,-8.80178,-428633664.2900734,-8.98011,80985041177.0,85985041177.0,86712634466.0,0.280991,-80.82917,2021-04-19 01:08:21.675000+00:00,0.00191713,2709.83685,2020-03-13 02:29:59.652000+00:00,2024-12-18 12:57:30.587000+00:00,3.8686316195151984,eth,2024-12-18 10:02:19.516525
